	Heart	Liver	Ovary	Testis	lung	Adrenal	Gallbladder	Pancreas	Kidney	esophagus	colon	Rectum	urinary_bladder	prostate	placenta
EIF2S3	0	157.74	150.32	236.73	105.98	81.25	114.14	33.16	90.39	101.22	139.02	194.79	25.13	167.79	36.71
RALA	0	50.95	119.27	190.45	266.12	114.01	117.87	239.72	62.37	73.17	145.16	111.17	109	97.63	159.21
TPT1	0	157.56	411.2	478.03	218.22	386.43	467.83	446.89	150.03	422.41	362.6	307.51	299.65	330.9	335.1
ASAH1	0	157.47	151.05	152.94	638.32	0	161.73	189.75	451.37	100.39	206.23	146.66	139.69	224.8	161.03
SDR16C5	0	0	0	0	50.17	0	0	0	0	111.27	0	0	5.38	0	0
RUVBL2	0	90.53	369.96	644.68	139.31	105.04	152.05	336.83	127.24	47.19	267.49	261.18	147.06	220.78	128.36
RPS15A	0	866.88	681.86	683.8	422.61	395.03	486.7	742.36	382.04	418.32	531.98	688.51	296.75	451.02	294.98
CRIP1	0	0	87.84	0	100.22	0	32.56	0	24.61	0	277.55	521.95	193.53	220.61	0
LASP1	0	369.41	327.89	439.98	489.24	287.69	1028.28	665.39	219.05	69.63	389.63	449.62	240.81	598.26	231.48
HEBP2	0	112.48	40.96	102.37	112.16	181.53	206.45	271.67	110.15	150.77	126.54	240.51	80.21	173.73	95.68
COLGALT1	0	21.55	70.63	65.38	27.86	30.69	46.53	35.49	8.79	0	66.12	10.97	33.3	23.36	100.39
PRKAR1A	0	131.69	292.09	308.73	79.59	323.93	116.33	236.59	83.05	80.24	226.53	188.95	145.14	184.92	152.77
PFDN4	0	22.4	61.18	114.69	74.46	63.8	126.98	92.23	68.56	112.6	68.73	102.65	11.98	68.29	163.34
SOD3	0	19.91	275.45	407.64	319.8	179.53	505.06	622.84	446.75	853.84	559.88	658.75	1178.25	792.92	72.57
SNX2	0	155.48	253.17	367.12	131.64	137.86	161.53	169.09	158.01	35.39	189.02	183.71	182.01	189.59	155.08
GC	0	155.45	622.68	501.09	543.62	142.97	493.03	218.67	531.26	703.26	541.57	460.03	769.1	639.76	147.59
KPNB1	0	155.34	462.82	405.68	187.76	193.56	122.93	220.93	62.67	170.37	222.07	258.83	139.74	219.56	151.24
FUOM	0	204.62	0	0	0	0	16.57	0	0	0	0	0	0	0	0
HNRNPC	0	667.36	1335.68	1078.03	592.66	841.53	940.56	855.74	480.21	307.29	633.07	536.89	365.12	708.18	1002.95
RBM3	0	199.8	218.27	136.39	182.63	142.26	113.25	246.78	122.3	40.17	122.61	198.36	42.75	134	182.11
MYL1	0	154.13	0	0	0	0	13.14	0	0	2919.56	0	0	0	138.48	59.15
KMO	0	153.67	0	0	0	0	0	0	142.97	0	0	0	0	0	95.24
TMEM109	0	143.98	142.99	119.13	217.53	158.43	95.39	150.88	176.25	394.75	100.4	39.98	105.01	79.8	405.61
GSTK1	0	1533.83	323.37	382.69	413.68	747.24	141.64	188.34	782.38	419.32	371.55	441.84	172.71	303.52	699.01
RAB6A	0	152.67	285.93	314.31	314.16	238.12	188.39	167.62	89	263.12	189.61	244.3	116.66	168.44	331.33
TXNL1	0	111.69	313.75	332.8	212.14	416.56	232.56	394.14	156.26	213.87	334.54	357.43	318.61	389.12	222.99
PYGB	0	376.06	478.65	431.88	250.59	260.19	416.56	204.49	186.76	756.13	601.44	639.42	969.66	648.92	145.51
GLOD4	0	261.29	382.38	454.31	139.29	301.88	255.49	527.72	307.79	178.42	347.91	376.5	279.51	330.64	152.78
CLIC4	0	274.23	540.56	501.91	614.29	415.99	492.41	431.98	1569.1	263.71	859.73	519.02	1135.16	836	521.64
ABCA3	0	0.9	0	0	74.48	0	1.45	1.48	0	0	0	0	0	0	0
GLYATL1	0	151.49	0	0	0	0	7.91	0	305.09	0	0	0	0	0	0
CBS	0	424.66	0	0	0	0	4.59	37.3	0	0	0	0	0	0	0
MCM2	0	1.68	60.69	88.1	2.8	2.4	2.73	5.54	0	6.77	12.91	10.28	0	6.16	27.62
HOGA1	0	150.85	0	0	0	6.93	39.4	64.11	327.64	0	0	7.43	0	0	0
GNPDA1	0	105.01	579.32	567.48	200.7	299.08	204.08	198.87	559.2	63.34	426.92	288.7	308.91	320.12	124.42
LYPLA1	0	146.01	121.53	94.92	69.33	128.72	22.52	103.05	187.26	139.8	53.33	63.72	96.69	84.78	354.89
LSM6	0	150.33	123.17	149.65	62.46	80.28	60.87	247.57	161.03	0	144.15	28.7	140.71	206.23	102.76
PDLIM5	0	150.21	90.84	115.97	84.7	129.88	334.51	207.62	91.95	172.59	115.23	86.04	327.12	281.3	97.8
STX7	0	46.02	94.27	163.63	191.22	57.35	102.49	198.95	84.51	46.27	132.39	123.02	67.69	98.21	167.79
RPS7	0	550.39	702.89	414.51	270.55	220.78	188.32	561.71	180.31	124.69	261.64	698.57	215.6	160.7	1271.8
HN1	0	0	58.5	36.56	0	0	17.35	88.19	0	21.53	0	0	0	0	58.57
NDRG2	0	264.87	358.25	353.96	41.92	413.11	47.66	103.86	36.03	160.62	135.45	141.28	85.45	138.42	0
ATP5D	0	137.3	96.42	111.58	130.39	153.62	95.3	193.81	276.13	78.88	240.73	329.55	41.96	167.42	125.14
FIS1	0	283.55	188.07	184.34	50.49	100.95	16.4	116.74	99.18	81.45	108.75	123.74	162.49	222.27	92.3
NACA	0	242.06	256.43	375.54	146.29	396.94	285.11	326.16	116.74	368.72	213.82	280.09	156.93	143.11	374.4
MYL2	0	109.55	0	0	0	0	0	0	0	4368.63	0	0	0	22.26	49.92
CAMK2D	0	69.99	166.21	211.18	121.37	151.66	103.49	135.3	48.43	36.71	186.74	190.56	117.18	181.82	49.92
ABRACL	0	37.88	0	43.1	62.96	0	0	0	23.19	0	145.29	86.79	40.52	23.1	0
ALAD	0	576.56	273.63	301.09	188.5	565.31	267.88	163.44	376.05	228.05	246.51	108.27	151.66	207.46	198.14
CYB5R1	0	171.05	329.76	337.69	334.44	365.37	81.48	99.42	363.37	495.65	115.77	84.52	182.98	110.42	1678.26
HSDL2	0	476.1	214.65	266.53	56.52	355.13	67.31	192.9	342.3	68.38	133.33	196.22	92.97	110.58	117.1
BSG	0	65.03	279.74	319.08	74.31	150.49	98.74	120.49	169.18	24.52	261.9	273.16	95.66	99.13	81.5
RPS27A	0	19.1	52.15	86.9	15.87	27.19	15.46	94.34	11.69	0	73.24	43.75	30.64	0	0
ANXA5	0	825.73	3446.61	1010.03	1610.31	1903.15	1182.69	1265.51	958.26	2005.75	1149.65	816.5	1097.75	948.69	4933.33
TAGLN3	0	0	0	0	0	97.82	0	75.42	9.34	0	70.26	34.97	0	18.61	0
FLNA	0	461.9	1892.94	1806.61	3861.69	2046.41	9651.68	2119.03	1335.11	2874.65	7019.85	8278.51	10145.67	6004.98	870.97
HSPG2	0	184.03	406.08	464.11	1312.17	704.92	2239.75	729.04	1091.5	397.97	1207.91	1532.27	2126.34	1372.75	378.82
MARCKS	0	146.77	207.84	235	370.4	178.04	343.34	456.55	59.89	306.03	366.94	448.34	197.71	278.39	515.27
PTMA	0	196.79	368.53	287.85	280.33	540.45	341.47	185.18	154.87	960.91	366.6	407.91	330.8	291.38	794.32
VASP	0	60.29	169.37	225.38	164.62	49.06	341.75	184.39	47.45	34.64	554.98	473.59	377.76	372.84	133.46
BUB3	0	92.33	272.34	257.36	145.78	105.19	142.06	220.48	50.86	9.28	120.4	155.13	83.95	106.96	143.06
TOMM70A	0	195.8	222.23	216.97	76.07	173.81	53.54	175.88	65.37	76.69	234.07	186.43	157.77	195.35	32.45
ATP5J2	0	565.58	223.12	71.5	496.09	268.47	178.11	77.62	557.75	410.65	265.13	119.98	218.48	134.1	200.47
TMEM126A	0	167.33	52.23	72.52	79.46	226.94	0	26.24	126.81	112.15	24.45	0	0	0	188.82
PIN1	0	112.83	308.15	502.76	62.51	147.28	137.05	232.26	80.57	0	504.87	416.47	352.03	424.21	51.42
HSD17B10	0	1637.35	515.04	645.1	571.77	1179.44	392.09	954.77	1240.1	742.98	596.23	651.98	299.87	590.43	952.33
PDCD10	0	76.38	174.47	205.4	115.4	98.88	44.98	137.22	102.01	55.85	149.14	159.09	103.99	169.35	139.24
EHD1	0	141.46	302.9	173.82	347.95	92.67	174.12	139.78	176.64	153.59	321.2	276.56	369.23	238.05	624.05
OAS3	0	7.08	20.1	19.33	4.71	2.02	0	9.32	1.73	0	2.17	2.16	6.06	10.36	2.58
PRKACA	0	173.26	480.12	379.81	161.53	517.53	54.75	118.31	186.24	178.43	110.21	154.91	149.18	170.05	192.58
PTGES3	0	201.83	410.91	521.87	243.95	509.51	193.15	453.24	292	313.58	281.49	406.36	186.46	234.92	250.85
NIT1	0	143.35	130.5	163.09	87.36	224.56	108.34	165.26	175.49	48.04	161.28	131.37	138.01	110.71	60.97
ABAT	0	2151.72	119.52	127.93	10.1	47.61	231.34	335.33	1279.86	0	32.64	23.21	19.51	74.12	38.78
TUBB	0	2151.38	3357.53	1583.3	3391.87	2586.66	3215.79	966.78	3369.29	4242.38	1954.92	2188.91	1178.41	1579.09	1473.03
CAT	0	2617.85	166.2	195.94	1059.07	960.6	497.42	259.99	1834.31	398.23	409.55	425.28	297.85	322.02	559.89
ANXA1	0	212.67	905.12	670.42	2238.51	1312.36	1758.01	1174.74	694.26	9006.47	1196.33	1008.33	819.95	983.29	8730.85
SELENBP1	0	2134.63	797.59	670.47	2116.64	228.45	657.49	490.64	1390.77	836.02	1366.21	1585.2	1148.75	666.71	477.45
EEF1D	0	385.8	319.11	476.55	375.55	596.49	553.41	871.34	290.12	531.92	507.33	547.18	312.48	490.61	432.02
ALDH1A1	0	3955.04	1981.02	1885.24	1137.96	930.53	708.89	1956.57	2005.59	440.05	1506.14	1179.53	441.48	998.87	148.18
HSP90B1	0	1747.38	1477.29	1114.29	887.87	2586.09	1147.6	1674.04	554.09	402.81	996.04	997.31	353.21	907.04	2167.51
PGM1	0	2113.06	518.4	368.39	259.79	874.51	339.05	478.08	396.39	667.89	531.02	400.77	519.57	619.49	213.71
PDIA3	0	2099.45	1603.83	1539.67	1059.32	2090.66	1208.4	1676.49	1061.34	473.76	1005.67	1333.43	555.81	920.89	5181.77
CMBL	0	880.63	327.36	250.47	81.31	330.93	118.85	141	1332.6	147.55	290.85	261.54	117.75	231.17	22.3
HSPE1	0	1051.25	154.27	267.76	625.84	1497.04	1041.85	1085.26	729.91	315.48	818.44	1030.51	486.75	573.99	514.84
KRT2	0	461.37	1543.56	1249.62	4801.08	2049.43	1876.5	1700.91	1806.73	3331.13	2071.18	3775.7	2910.77	2486.92	258.05
ACTR3	0	249.84	403.48	420.19	559.66	237.19	304.94	322.01	359.05	393.15	444.41	420.32	398.96	295.83	475.25
GOT1	0	2065.83	291.72	299.59	55.48	401.4	288.32	171.02	1239.52	894.87	330.02	294.57	202.34	226.13	141.98
TST	0	1821.53	196.19	303.56	264.36	0	357.33	253.5	1017.59	92.85	472.32	470.23	82.33	131.39	159.01
HSPA8	0	1427.41	1651.88	1274.41	1194.2	2663.19	1786.71	1274.97	1344.64	1094.51	1354.77	1208.36	763.48	1020.76	1353.95
DECR1	0	2040.17	410.43	725.01	387.28	1307.05	415.91	595.22	1164.37	372.92	481.54	377.71	218.75	307.35	173.38
ARF1	0	505.54	679.03	537.44	633.58	1026.76	348.97	805.24	618.88	533.23	546.72	379.75	877.68	515.4	2885.53
CALR	0	2023.75	1771.01	1795.73	1456.68	2273.06	1604.14	2024.31	963.94	444.16	1005.77	1240.78	1109.12	986.24	2416.12
IGLL5	0	751.17	690.62	863.07	2286.71	1980.54	3372.6	1249.3	2066.77	2392.63	1574.6	1465.4	1893.52	1714.06	1233.74
S100A6	0	101.1	36.81	191.7	672.07	95.98	382.03	277.48	309.4	271.03	749.65	823.54	576.78	719.12	122.86
AKR1C4	0	1272.56	0	0	0	6.59	7.49	0	0	0	0	0	0	0	0
GDA	0	215.24	0	11.48	16.77	9.58	92.59	44.31	387	0	5.16	5.14	3.6	0	6.13
APOA2	0	15.35	83.84	52.39	357.14	65.57	24.86	0	37.58	246.9	235.48	140.67	361.23	374.34	55.96
CYS1	0	0	0	0	0	0	16.95	34.46	0	0	0	15.98	0	0	0
AKR1D1	0	513.98	0	0	0	0	0	0	0	0	0	0	0	0	0
NME1-NME2	0	141.88	120.55	107.61	87.33	134.7	93.61	34.62	192.99	84.52	137.05	136.44	33.73	108.93	86.21
RAB21	0	91.58	246.27	248.46	304.41	471.51	205.37	266.84	327.72	212.47	237.77	258.24	180.87	240.53	346.74
RPS11	0	781.74	599.84	836.45	525.88	450.6	527.52	1241.42	375.97	243.26	485.44	682.3	288.71	272.36	967
PALM3	0	141.15	0	8.17	3.98	6.81	3.87	59.1	14.64	0	0	0	0	0	0
RPL27A	0	486.79	531.8	353.51	344.27	176.99	218.06	392.3	240.91	166.6	397.25	316.39	254.83	126.3	811.86
S100A9	0	919.68	56.6	206.32	2195.84	313.58	1006.96	682.62	317.15	3359.76	1748.78	1562.99	1205.52	1974.4	70.84
AHNAK	0	269.38	523.94	703.84	1846.55	396.43	658.39	632.21	142.86	521.9	639.16	1037.38	905.33	586.82	201.3
RBP5	0	139.97	0	0	0	0	0	0	342.7	0	0	16.45	0	0	0
NDUFA11	0	138.59	176.63	131.39	76.78	115.13	56.11	114.12	254.49	69.66	124.03	246.96	160.61	126.75	0
NDUFS7	0	138.3	159.04	223.6	108.88	207.32	58.94	179.81	187.13	29.27	256.85	144.54	93.44	115.39	132.69
SORBS2	0	138.21	39.26	48.74	34.45	488.1	235.02	425.62	6.77	22.23	472.84	327.2	301.6	399.42	22.67
RPL36A	0	137.87	331.36	47.06	0	19.63	22.33	272.46	33.76	0	84.61	231.64	176.98	50.44	125.66
MYL6	0	678.81	597.68	922.14	2441.55	620.4	4397.45	717.45	942.63	2953.81	3093.16	5632.84	3565.72	2878.58	1939.24
CAPN1	0	266.01	324.93	221.62	348.12	256.52	301.91	434.63	253.86	492.75	446.67	399.91	419	482.74	221.46
C10orf54	0	0	0	0	0	0	0	0	0	0	0	0	5.41	0	46.11
NDUFB7	0	104.58	205.64	178.47	121.66	163.81	169.37	137.78	128.02	21.03	208.57	239.59	145.43	114.77	95.32
RAMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL31	0	426.95	272.08	323.83	177.39	168.89	268.9	527.34	116.15	143.08	309.31	344.17	177.61	173.54	799.91
DCBLD2	0	0	0	2.29	0	0	0	0	0	0	0	0	0	0	0
ATP6V1G1	0	137.14	122.58	184.4	41.44	319.58	100.96	287.45	183.15	0	114.76	133.3	40.01	121.62	45.45
NUTF2	0	11.85	194.14	188.7	236.28	101.23	134.31	273.15	58.01	23.82	363.52	253.34	152.08	375.62	0
GGCX	0	137.13	6.42	6.69	13.02	36.27	0	9.68	7.19	0	0	0	4.19	2.39	7.14
PSMD6	0	252.41	246.93	295.74	156.53	289.7	42.71	136.49	156.8	98.47	86.69	51.79	72.54	110.25	123.61
ME2	0	55.04	71.58	172.95	47.92	52.25	38.2	69.06	32.09	21.08	88.46	104.08	75.7	70.31	33.44
AHSG	0	56.7	138.19	173.68	318.96	118.02	261.37	64.65	165.53	394.65	207.44	399.73	214.63	223.39	95.41
PFKP	0	6.01	177.32	150.47	59.95	82.76	48.68	112.2	26.98	145.05	276.69	220.37	580.93	442.29	58.45
MTCH1	0	136.25	171.4	197.29	61.76	264.58	73.55	95.19	126.36	33.21	44.34	69.37	48.58	151.04	90.32
CAV1	0	242.98	1556.04	1239.21	3244.52	536.92	2198.25	634.72	348.74	1398.27	2223.78	1676.46	3119.08	1563.19	458.21
NCL	0	541.8	1015.02	830.37	394.41	589.82	714.3	1154.03	227.48	355.62	528.96	653.14	182.02	445	342.82
UQCRH	0	287.5	34.9	36.34	159.27	113.73	51.74	0	449.72	642.3	98.02	317.15	51.26	97.38	291.16
DCTN2	0	135.73	245.72	357.37	212.69	165.67	131.89	306.55	223.13	218.32	249.88	266.54	232.31	293.19	205.01
PROSC	0	135.67	160.56	173.64	103.34	96.6	64.08	223.42	124.56	45.46	182.12	155.41	120.94	158.54	113.35
SERPINF1	0	33.33	283.23	345.53	129.26	73.84	329.91	231.78	95.22	186.17	232.97	214.97	202.06	316.14	216.05
BLVRA	0	61.57	302.7	274.38	93.81	131.53	207.76	143.66	201.01	175.39	133.83	133.24	115.27	193.97	252.55
CDKN2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EHD2	0	134.62	1265.34	1001.88	2465.67	243.62	1403.48	360.25	151.06	1280.04	1837.21	1447.85	1545.04	1162.74	112.47
FAU	0	928.85	422.8	499.02	42.88	183.71	0	552.38	31.59	51.88	158.33	236.45	220.8	314.62	94.07
EZR	0	390.43	618.2	643.81	919.94	1009.95	572.29	382.53	940.81	308.05	644.49	626.54	303.99	626.76	959.48
ACOT9	0	96.24	131.43	168.16	114.25	171.32	122.47	96.23	92.57	131.31	158.2	152.25	128.69	167.66	56.39
ACADM	0	1332.8	213.17	268.08	110.14	450.9	101.37	315.29	1496.4	273.9	186.4	151.84	74.83	80.81	100.67
PTRF	0	134.14	1805.92	1472.26	1855.63	618.02	3201.19	779.68	135.24	698.08	2584.55	1801.79	1962.51	2150.49	323.64
RMDN2	0	133.89	19.77	24.7	24.06	180.37	0	29.8	8.86	0	22.21	0	7.74	26.48	0
CPNE3	0	122.66	186.98	172	113.78	73.12	124.73	187.91	90.79	108.97	170.68	152.49	143.42	153.05	88.4
EIF1B	0	133.75	409.14	441.3	288.98	171.43	129.97	484.6	65.5	134.47	307.8	367.73	186.01	342.51	195.06
AMACR	0	133.54	0	0	0	17.29	13.11	0	267.51	0	18.62	12.36	0	0	0
PLEC	0	329.32	511.28	493.2	1235.08	0	689.01	628.92	211.64	577.19	614.1	921.75	1171.06	759.88	443.33
IMPA1	0	39.77	322.77	478.35	56.66	113.28	119.62	131	132.16	194.21	165.62	182.24	133.72	138.57	41.43
CAPZA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTPN	0	133.02	159.85	242.14	243.18	227.31	581.65	635.27	179.12	160.47	387.74	568.88	213.44	632.59	72.74
ALDH9A1	0	714.14	494.56	707.29	174.85	749.1	469.86	509.28	710.32	378.2	449.98	389.56	375.15	443.19	92.99
HSD17B4	0	1801.67	261.02	333.06	679.71	738.74	205.68	283.59	374.19	90.89	247.68	226.86	119.74	259.86	419.86
PSMD7	0	199.21	247.99	210.83	92.39	230.9	45.02	106.81	153.13	93.15	78.18	120.29	99.12	107.33	253.35
CAPZA2	0	187.41	398.1	450.12	337.42	296.53	328.81	300.06	458.85	460.56	622.96	445.28	612.57	463.4	370.1
SULT1B1	0	132.7	0	0	0	0	0	0	0	0	263.91	180.17	0	5.99	0
TXNRD1	0	108.86	147.99	159.63	88.45	168.8	121.45	51.79	71.07	43.78	152.16	59.12	486.5	174.04	92.61
HAGH	0	497.24	149.66	219.36	109.62	339.59	147.91	125.34	310.57	61.21	217.96	147.25	195.4	136.12	83.24
ARPC5L	0	111.37	88.49	80.63	50.48	158.6	32.8	50.02	136.34	81.43	186.4	46.39	97.48	37.04	92.28
NDUFS4	0	110.89	93.19	135.87	70.89	97.18	0	126.43	167.08	34.3	209.39	169.38	127.75	114.42	171.05
ASGR1	0	310.12	0	0	0	0	33.48	0	0	0	0	0	0	0	0
RBMXL2	0	0	96.29	173.2	0	0	0	0	0	0	6.15	6.12	0	0	0
TWF1	0	106.45	102.34	159.87	49.54	84.89	55.17	140.25	52.13	111.3	156.78	91.05	104.76	129.81	85.38
ARHGAP1	0	74.82	208.06	224.41	141.3	401.97	501.21	252.03	204	348.74	219.14	192.2	403.82	319.32	192.19
ARL1	0	235.22	247.79	210.27	153.58	430.67	68.03	124.51	123.41	185.8	154.66	64.16	71.89	122.93	275.65
AFMID	0	131.2	0	0	0	0	0	24.93	61.77	0	0	0	0	6.15	0
ARL3	0	109.01	366.41	457.91	111.49	59.7	149.38	248.56	133.45	84.3	244.42	153.69	170.43	276.07	198.71
PLIN3	0	131.17	624.95	704.73	127.17	477.37	64.91	198.02	98.13	190.48	257.14	161.4	292.33	364.34	292.25
ADIRF	0	131.02	143.13	198.75	145.17	62.19	601.21	251.73	160.39	263.44	0	200.12	93.44	692.32	39.81
TWF2	0	65.06	175.31	152.97	136.96	43.23	119.41	0	58.41	226.74	133.08	139.12	199.5	163.95	142.31
LYPLAL1	0	130.36	149.53	140.89	54.16	269.18	52.78	53.67	351.09	52.42	70	29.87	41.83	55.64	83.17
KRT9	0	395.21	2231.2	1402.35	4175.21	2231.52	1409.92	1151.5	1441.29	194.49	2552.49	2908.45	2983.04	2399.5	201.52
FAHD2A	0	233.03	135.41	236.91	24.72	98.85	88.33	114.31	78.9	9.97	106.49	53.01	21.21	60.46	36.15
MNAT1	0	0	20.92	32.69	0	20.46	7.75	7.89	0	0	0	0	5.12	11.68	0
ACAT2	0	526.8	226.58	269	62.05	248.1	114.21	116.13	142.19	116.77	89.09	120.38	66.56	116.34	143.67
FUNDC2	0	116.14	117.82	84.94	55.15	47.26	0	81.97	81.25	33.36	50.91	12.67	97.62	80.93	0
PSMD1	0	129.65	270.89	265.52	88.89	145.4	57.74	234.87	37.7	143.38	156.64	94.07	105.76	154.15	109.31
RPL26	0	735.48	477.74	452.3	412.96	212.3	241.45	343.73	158.17	39.97	182.98	546.51	350.86	278.75	235.53
S100P	0	82.46	0	0	301.52	0	0	54.32	0	99.49	25.3	25.19	123.5	100.56	5261.43
ENSA	0	0	83.97	43.73	63.87	91.22	20.75	253.17	15.68	77.28	98.27	97.84	178.16	187.46	70.06
HMGB2	0	128.46	865.43	909.4	201.64	71.14	34.68	387.86	131.05	57.4	394.17	599.54	160.32	287.19	481.37
C1QBP	0	213.3	304.72	304.9	236.33	763.27	274.59	423.33	582.5	230.93	352.41	375.92	210.62	246.76	159.52
SNRPD2	0	342.37	886.57	1067.56	337.19	343.09	349.12	856.18	108.66	127.48	369.62	600.4	339.11	386.56	161.81
HMGN2	0	127.83	1396.45	1578.96	30.35	130.02	621.07	2826.87	89.42	0	308.17	1004.11	351.62	890.71	798.92
TCP1	0	289.93	422.32	682.35	222.03	433.12	248.59	500.88	354.94	451.51	357.59	364.69	246.3	353.55	331.62
STEAP3	0	125.66	3.43	7.15	0	0	0	15.52	0	6.32	0	0	0	3.83	45.81
ENTPD5	0	252.69	0	12.32	0	0	5.85	0	123.73	0	105.22	121.3	3.86	61.63	0
GSN	0	208.16	819.96	735.52	964.68	0	1072.95	1054.78	394.49	853.17	2364.43	1990.18	1993.36	2050.16	430.54
EIF4A2	0	288.33	367.48	344.86	141.3	310.58	197.56	158.28	244.37	312.17	272.21	259.72	185.85	211.86	188.68
APOA1BP	0	124.55	384.53	474.39	108	200.5	166.63	267.54	218.77	228.65	207.7	181.97	162.2	290.55	148.07
ANXA11	0	116.68	186.04	222.45	471.71	80.84	357.52	264.87	324.3	310.71	295.13	385.35	259.76	311.49	321.93
BZW1	0	96.4	136.51	109.67	11.87	55.93	0	52.92	39.34	28.71	38.34	5.45	53.47	78.36	39.05
ACTN1	0	672.41	654.57	566.18	1200.5	0	2463.7	1096.38	368.79	1606.32	3319.47	2420.13	4926.46	2656.67	876.83
CBR1	0	1327.04	968.54	944.41	459.87	908.7	768.22	437.08	1410.25	1362.5	823.03	698.64	809.46	943.37	360.29
PRDX2	0	1974.45	624.84	597.24	2174.63	2265	964.39	1135.48	4057.31	1858.95	805.37	1316.41	1139.89	1089.18	3127.94
ACTN4	0	1773.27	1483.29	951.04	3384.84	3044.72	3155.36	1796.9	2731.57	3137.87	2723.02	2501.1	2931.15	2503.45	2069.54
PGK1	0	1968.43	2389.82	1679.62	1322.65	2293.98	1911.53	1918.42	3252.22	2210.84	1922.84	1949.57	1830.15	2048.71	1268.52
ALDH4A1	0	1967.64	88.05	75.88	60.05	130.6	67.51	82.38	2548.27	178.81	42.64	42.45	115.95	189.78	314.1
CES1	0	6071.38	167.84	103	601.87	93.77	577.62	207.83	16.79	165.49	353.56	205.33	495.99	301.09	30.01
ACADSB	0	1939.77	110.49	152.06	48.03	210.9	40.95	124.92	1229.34	50.84	49.88	49.66	46.37	92.5	65.85
HNRNPA2B1	0	1315.21	1822.28	1715.29	1546.07	1996.91	1580.82	1773.5	1520.31	912.19	1174.09	1413.89	803.96	1162.31	2990.63
RAP1A	0	122.59	285.71	269.66	298.83	896.18	344.15	538.38	190.1	213.63	351.09	399.47	646.98	358.78	938.62
ANXA2	0	973.07	3232.77	2143.36	9127.26	3043.48	3231	2839.11	2567.39	6619.99	2808.48	2416.02	2580.92	2042.63	7403.09
RPL18A	0	380.03	523.47	507.56	233.42	364.71	548.58	748.3	212.39	83.06	329.54	403.8	176.75	261.93	753.01
ADH6	0	1908.83	0	0	0	18.75	63.96	7.23	343.8	0	0	13.4	0	0	0
PRDX5	0	854.29	763.59	901.25	658.27	763.11	377.33	1445.25	1045.82	562.16	1322.55	1482.78	681.25	1022.79	1217.53
FGG	0	1894.68	1669.7	1598.7	3812.98	2688.63	5295.73	745.78	2303.15	2102.29	4240.1	2893.92	2529.05	1534.84	5019.91
A2M	0	711.15	294.92	284.43	2854.37	822.73	1898.56	442.85	990.17	1001.12	583.38	827.89	1727.11	677.6	352.33
ILK	0	123.43	404.51	356.75	293.84	142.51	718.54	258.2	138.85	80.49	829.08	606.33	760.09	512.54	66.89
AADAT	0	123.16	0	0	0	0	0	0	0	0	0	0	0	0	0
MTAP	0	87.86	221.96	299.88	91.26	125.12	142.29	180.87	154.62	242.91	303.29	276.78	252.59	294.63	150.15
ATP5J	0	122.64	0	93.02	22.65	19.4	66.2	762.96	100.09	27.4	439	645.19	102.03	448.63	149.04
GNG5	0	210.95	51.21	80	77.91	33.38	0	0	0	0	35.96	179	100.29	142.91	42.73
RSU1	0	119.64	439.65	426.92	361.54	240.08	634.15	223.9	186.41	87.48	926.12	548.23	1128.62	928.42	237.93
GSS	0	222.66	150.24	286.84	97.95	93.26	148.48	183.34	228.48	85.59	195.91	210.05	112.09	219.6	83.56
ARL8B	0	119.45	191.39	226.5	264.7	476.3	116.08	39.34	194.98	416.31	97.74	121.63	42.59	126.24	406.47
EIF2B1	0	50.88	188.99	150.5	50.74	43.47	16.48	67.03	12.46	40.92	78.06	38.86	65.31	62.04	46.38
CP	0	301.77	463.07	429.56	846.78	517.69	952.46	196.48	350.53	355.59	516.81	424.48	414.41	347.45	107.46
CROT	0	17.11	0	2.78	0	3.48	0	0	8.98	9.83	3.75	0	7.84	8.94	13.37
NME2	0	118.99	162.49	33.84	49.44	56.48	0	16.33	157.81	99.69	91.28	60.58	63.64	36.27	307.29
PAGE4	0	0	0	0	0	0	0	0	0	0	0	0	0	93.77	700.89
MYLPF	0	36.08	0	0	0	0	0	0	0	1723.05	0	0	0	44	32.89
RMDN1	0	114.96	57.56	98.1	127.38	191	46.55	63.11	58.64	28.89	124.93	29.27	30.75	23.36	113.52
PIGR	0	2.06	2.25	4.69	215.64	0	243.49	105.14	307.6	0	391.8	729.81	6.61	153.2	3.75
DDC	0	41.35	0	0	0	54.36	0	36.67	1214.9	0	48.8	43.72	3.4	3.88	0
UBE2L3	0	201.66	293.74	415.16	111.72	191.45	171.07	284.66	246.87	193.08	338.85	278.68	482.81	503.52	350.11
TMA7	0	121.37	185.63	524.74	0	34.57	39.31	319.81	89.15	0	37.24	370.77	129.84	266.41	0
CD59	0	120.99	436.18	357.89	583.13	172.3	372.3	278.95	414.72	462.21	241.3	406.56	323.57	265.56	441.11
PDXK	0	210.12	314.96	489.23	243.64	264.43	79.14	354.08	430.71	176.85	179.92	208.98	120.23	256.22	240.51
SGTA	0	80.57	181.54	234.89	33.48	222.3	48.93	99.51	49.32	30.37	100.43	92.3	75.41	98.25	174.41
