Protein	Description	Gene	H13_1	H13_2	H16_1	H16_2	H19_1	H19_2	H22_1	H22_2	H25_1	H25_2	H28_1	H28_2	H31_1	H31_2	H34_1	H34_2	H37_1	H37_2
B7ZL21	MAML2 protein	MAML2	3946.08154296875	4342.0673828125	3171.04833984375	0	0	3366.7158203125	0	5077.73095703125	0	0	0	0	0	0	0	0	0	0
B7ZL34	PUM2 protein	PUM2	38554.6484375	43658.1875	71605.2734375	48737.38671875	48940.0625	69589.125	50454.78125	57231.38671875	50063.9453125	23444.892578125	46346.7890625	58489.6171875	18905.34375	36405.38671875	45437.2265625	13336.046875	48990.1796875	56722.64453125
B7ZL68	Neuropilin	NRP2	5528.19873046875	0	0	11497.849609375	2760.30126953125	0	3519.67651367188	2633.07763671875	4610.6357421875	4517.2724609375	3447.95581054688	4298.02197265625	7367.53515625	11241.091796875	3744.03051757813	5414.77392578125	2429.47973632813	0
B7ZL88	COX18 protein	COX18	0	8688.6630859375	11507.9375	12858.28515625	0	0	13158.08984375	19628.96875	7126.26025390625	4300.7919921875	9105.8134765625	11460.0146484375	0	0	0	0	2604.91674804688	0
B7ZLC9	GEMIN5 protein	GEMIN5	13286.974609375	14831.87109375	20320.431640625	15616.595703125	16770.537109375	15845.1220703125	19912.671875	20388.224609375	16647.41796875	19379.056640625	16852.755859375	15054.5185546875	18378.234375	18303.22265625	24073.970703125	11344.1669921875	14700.1025390625	8953.162109375
B7ZLD0	Low-density lipoprotein receptor-related protein	LRP6	0	7873.732421875	9868.451171875	2868.12158203125	3602.91186523438	0	0	0	1590.12072753906	0	31595.7734375	15120.9580078125	2938.65161132813	3616.58837890625	2741.10668945313	0	1605.63940429688	0
B7ZLD4	IBTK protein	IBTK	14800.8017578125	15220.4990234375	19213.53515625	20459.150390625	13322.29296875	7108.94921875	13250.029296875	13305.2685546875	22780.9375	18795.546875	12760.1005859375	3820.98510742188	6660.765625	17021.90625	18674.91015625	7403.775390625	0	3063.0400390625
B7ZLI5	Family with sequence similarity 98, member C	FAM98C	4433.0791015625	5635.88720703125	6046.107421875	3246.86938476563	2631.60766601563	3803.88623046875	0	3786.48291015625	0	0	5232.60107421875	6062.9833984375	7237.74658203125	3898.39086914063	8986.13671875	9571.8623046875	8979.4384765625	11897.970703125
B7ZLQ5	Probable global transcription activator SNF2L1	SMARCA1	37769.578125	37649.14453125	48856.59765625	41850.89453125	42687.14453125	45298.59765625	41101.61328125	44492.59375	42661.85546875	34836.78125	43856.57421875	36870.50390625	39019.24609375	41233.0078125	54643.40234375	44043.07421875	23452.931640625	32275.390625
B7ZLQ8	CPEB4 protein	CPEB4	4573.96435546875	4647.1748046875	0	5227.26904296875	4791.30224609375	4626.4111328125	6218.19677734375	4875.43310546875	7732.875	6766.3466796875	0	6485.837890625	5828.205078125	6495.1513671875	8874.9267578125	3844.25390625	3804.2099609375	3381.96801757813
B7ZLW0	LPP protein	LPP	62782.44140625	66921.1953125	62041.5703125	67272.125	57476.8515625	50981.62890625	67134.203125	63514.68359375	50190.984375	59323.79296875	70556.1328125	38650.44140625	77159.6328125	45987.1875	53444.87109375	45496.35546875	49400.20703125	57722.609375
B7ZLW8	Methionine synthase	MTR	20899.876953125	40048.640625	42791.546875	24563.76953125	28956.935546875	33426.84765625	20470.251953125	30670.890625	21627.951171875	21728.40625	37426.625	38304.7421875	43269.30859375	30803.71484375	40757.19140625	37443.6015625	52713.265625	43150.86328125
B7ZLY3	LTBP1 protein	LTBP1	6282.876953125	2379.63598632813	8491.427734375	14139.064453125	5501.390625	6813.10400390625	23972.72265625	8701.96484375	22529.279296875	11842.0166015625	3693.56494140625	10539.5810546875	9835.556640625	22744.001953125	10554.1123046875	21405.205078125	25667.74609375	12236.7509765625
B7ZM71	MYO3B protein	MYO3B	510973.34375	365866.1875	351393.5625	354945.84375	333706.625	303484.03125	257999.640625	302682.875	368571.09375	294171.75	208480.6875	179252.8125	255724.84375	273979.9375	246235.5	282989.53125	210110.609375	210833.046875
B7ZM87	SLIT-ROBO Rho GTPase-activating protein 2	SRGAP2	17488.89453125	16271.2958984375	15378.3642578125	18258.6328125	13911.5478515625	14600.0419921875	19182.51171875	17003.314453125	15164.4794921875	22266.638671875	12805.5126953125	14988.3466796875	16478.54296875	15977.767578125	19954.716796875	23580.150390625	17538.50390625	15742.7431640625
B7ZMD6	IRGQ protein	IRGQ	9122.1044921875	12953.875	12044.9697265625	12256.068359375	10571.447265625	14884.8212890625	14510.77734375	16408.46875	20918.251953125	17667.33203125	16097.326171875	21131.583984375	18369.32421875	26494.490234375	26679.625	14409.3203125	21678.7265625	19547.4296875
B7ZMF2	Fanconi anemia, complementation group I	FANCI	87963.546875	113092.4296875	74232.6640625	56858.953125	41576.99609375	97997.1953125	96618.546875	61553.44140625	52814.671875	56033.55078125	174720.5	125173.6171875	273252.21875	104457.8125	221240.859375	179510.109375	229474.59375	196233.5625
B7ZML1	CHD9 protein	CHD9	225712.484375	274777.75	288084.625	269919.875	244414.390625	368409.6875	227321.90625	222294.109375	214677.40625	265908.34375	282449.21875	244878.375	450089.03125	389237.25	334572.71875	816423.3125	580135.5625	627000.375
B7ZML4	PLA2R1 protein	PLA2R1	11852.6162109375	10796.9775390625	0	16060.9677734375	13893.2353515625	0	0	15597.615234375	0	22545.92578125	39599.375	0	26616.51171875	24369.88671875	0	42635.19921875	29037.501953125	46677.94140625
B7ZW00	COL6A3 protein	COL6A3	138417.015625	74437.5078125	116750.640625	63691.8828125	92387.5703125	91682	49037.5625	52563.609375	60060.578125	42057.359375	94085.4453125	31878.568359375	28277.83203125	21325.88671875	0	31088.490234375	9933.2314453125	12258.6552734375
B8YCP3	TMP125	FLJ38101	55424.0546875	43486.859375	50286.328125	52606.7421875	72694.609375	64245.3515625	66333.359375	60351.25390625	54085.76171875	65882.78125	85541.7109375	64031.28125	45450.09375	40680.7734375	58483.55078125	41196.03125	0	45988.546875
B8ZZ86	Putative sodium-coupled neutral amino acid transporter 11	SLC38A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5848.259765625	5610.029296875	0
B8ZZ87	Mitotic-spindle organizing protein 2B	MZT2B	13172.1181640625	15514.7890625	21605.537109375	15003.830078125	9153.859375	15825.02734375	16611.119140625	17168.6796875	16116.74609375	15085.177734375	8606.29296875	13792.998046875	8252.078125	13272.99609375	2880.49877929688	4937.3779296875	0	0
B8ZZC8	rRNA N6-adenosine-methyltransferase METTL5	METTL5	10076.8779296875	14774.6279296875	14727.23046875	15342.2685546875	38478.73828125	24042.611328125	37362.51171875	12937.7119140625	13065.7861328125	7145.677734375	38833.49609375	11841.263671875	11207.056640625	14540.7626953125	0	12699.5078125	0	0
B8ZZF5	Protein eva-1 homolog A	EVA1A	86637.0625	76541.34375	97817.9140625	94514.140625	97917.4921875	109391.7734375	109066.7734375	106175.78125	132973.671875	101147.9140625	84083.1796875	81781.0625	89535.5	113232.5	83761.3984375	63521.80078125	57134.40625	68511.015625
B8ZZV9	Coenzyme Q-binding protein COQ10 homolog B, mitochondrial	COQ10B	16029.21875	11997.099609375	18245.328125	17216.978515625	0	13344.4599609375	18220.625	21494.5625	0	21428.37890625	32372.388671875	24331.375	23025.83203125	0	35450.3828125	31566.986328125	33363.99609375	19050.544921875
B8ZZW4	Interleukin-1 receptor type 1	IL1R1	17753.296875	7334.52294921875	5807.0625	6188.884765625	4418.14794921875	21938.7109375	2685.72021484375	4778.1787109375	2937.90478515625	5061.1396484375	6268.837890625	5399.91796875	8922.1875	25776.126953125	7517.435546875	7866.04296875	11218.1982421875	22075.283203125
B9A018	U4/U6.U5 tri-snRNP-associated protein 2	USP39	55389.0859375	48307.8359375	60971.28515625	42949.26171875	56355.18359375	58611.34375	58100.08203125	63084.53515625	58397.578125	44577.7421875	48151.44140625	53484.8203125	54854.71484375	63546.8359375	40174.5390625	42562.33984375	40742.96484375	41867.9296875
B9A057	Cytochrome c oxidase assembly factor 5	COA5	7281.4560546875	7409.1103515625	5462.24609375	9829.4111328125	4299.31787109375	4791.845703125	8235.333984375	8237.625	7491.67578125	6852.33642578125	7580.109375	3331.44946289063	0	12759.0732421875	11572.3037109375	6590.783203125	13083.1826171875	4522.302734375
B9A6J2	RAB3 GTPase activating protein subunit 1	RAB3GAP1	24051.603515625	21668.91796875	28223.283203125	28820.123046875	35656.44921875	27371.001953125	31489.490234375	36475.5	33122.10546875	33195.12109375	29477.998046875	32339.541015625	31869.228515625	31134.978515625	37277.7734375	27641.0625	36537.2734375	29624.671875
B9EG60	Synaptopodin 2	SYNPO2	120545.9921875	95809.8046875	119980.34375	121233.0859375	119936.125	110723.7265625	126501.96875	163176.546875	177079.9375	156940.578125	202664.15625	166009.109375	222862.796875	214847.3125	230146.640625	153662.859375	181281.6875	163868.921875
B9EGA3	SMARCD2 protein	SMARCD2	29720.708984375	26992.6328125	24301.177734375	58332.796875	63326.3203125	24869.615234375	26410.75	30340.78125	21297.46875	23574.451171875	22842.927734375	17196.927734375	22803.796875	29387.576171875	33426.62890625	19853.080078125	14206.60546875	21499.21875
B9EGI2	Myosin phosphatase Rho interacting protein	MPRIP	49628.0546875	44643.171875	36289.0078125	47242.6328125	28139.71484375	26395.810546875	49540.19921875	42436.80078125	47211.859375	39027.78125	38863.234375	17645.8125	18869.03515625	53763.703125	36209.67578125	21196.853515625	40864.8671875	47438.99609375
B9EK47	HEAT repeat containing 5B	HEATR5B	78448.8671875	51188.90625	135713.0625	85608.203125	99397.6953125	4653.00732421875	55972.77734375	15983.435546875	115863.2578125	62443.4453125	114775.5	84865.2578125	126764.9921875	45055.6875	72951.1875	102415.8046875	43576.6171875	140688.171875
B9ZVT1	RNA-binding protein 12B	RBM12B	16446.921875	14419.5537109375	19908.46875	13829.0029296875	13974.8564453125	16398.650390625	19263.62890625	22708.365234375	12229.8154296875	17658.79296875	12588.65625	19794.359375	15566.005859375	24005.716796875	18308.61328125	15092.3916015625	16745.06640625	19423.681640625
C0JYY2	Apolipoprotein B (Including Ag(X) antigen)	APOB	166007.65625	107014.4921875	112234.4453125	171343.9375	124672.5703125	161047.609375	185574.390625	180150.3125	150362.359375	178069.703125	149526.203125	164859.390625	240120.84375	433019.25	168461.875	89883.34375	76739.21875	100896.390625
C0STK4	CD44 molecule (Fragment)	CD44	64831.31640625	51468.04296875	54765.82421875	68841.90625	57989.83203125	83822.46875	53490.41015625	43671.27734375	56308.078125	79630.375	65001.625	68755.8515625	79572.6796875	55514.37109375	77087.1953125	76410.375	76617.4921875	54407.2734375
C1IDX9	Ubiquitin-like protein ATG12	ATG12	2305.48706054688	0	1577.69018554688	8556.3212890625	0	2455.57739257813	2648.7021484375	243742.609375	1904.91259765625	0	2841.09350585938	0	1451.96118164063	0	1287.43798828125	0	1501.45776367188	0
C1K3N4	Tumor necrosis factor receptor superfamily member 10a (Fragment)	TNFRSF10A	0	0	0	0	0	0	9661.3447265625	13063.578125	15429.4951171875	195540.890625	9378.0126953125	0	10737.8525390625	10837.94921875	14309.0341796875	10803.0546875	16374.9365234375	0
C1PHA2	Tyrosine-protein kinase receptor	KIF5B-ALK	64323.1796875	66761.953125	82560.234375	67447.8828125	67102.078125	64423.40625	74827.0078125	72041.1015625	69275.2890625	65363.18359375	62515.0703125	70134.59375	76366.828125	67940.7578125	89516.34375	82917.1953125	88682.5078125	78592.390625
C4AMC7	Putative WAS protein family homolog 3	WASH3P	27822.50390625	32630.91015625	31362.8984375	27745.017578125	28824.525390625	31289.71875	28491.490234375	31176.955078125	26610.33984375	30636.814453125	33261.20703125	40435.296875	36535.82421875	29966.62890625	42889.32421875	36893.24609375	28962.4140625	37279.37890625
C4B7M4	Spatacsin	SPG11	19756.888671875	11466.1259765625	41643.11328125	17030.572265625	17919.98828125	11844.521484375	9278.8837890625	15463.9990234375	10730.068359375	10253.4658203125	11506.724609375	14542.03515625	45673.9609375	9989.4873046875	0	11576.4541015625	11514.171875	56382.484375
C7FDR3	MHC class I antigen (Fragment)	HLA-B	444136.84375	297116.875	377468.09375	457330.3125	398799.5625	365876.4375	391026.71875	360815.46875	320008.625	345443.71875	486658.21875	407712.71875	447667.4375	296763.75	623933	546496	605367	478874.5
C9IZ04	Serine/threonine-protein phosphatase 4 regulatory subunit 2 (Fragment)	PPP4R2	9102.78125	8953.5283203125	15711.525390625	7071.166015625	8673.916015625	4189.8994140625	12320.056640625	4446.408203125	3760.26489257813	15394.853515625	0	13123.5439453125	0	15433.4833984375	5419.27734375	0	0	3192.51904296875
C9IZG4	Protein CutA	CUTA	36814.25	41374.6484375	63556.4296875	45220.26171875	46313.0859375	61393.2734375	53145.62109375	43417.7109375	41596.2421875	49424.0703125	63692.8125	42534.44921875	88208.65625	40098.9453125	74852.0859375	64384.2734375	50339.828125	117665.0546875
C9J0I9	Nuclear-interacting partner of ALK	ZC3HC1	12427.333984375	11237.4921875	11846.111328125	14556.728515625	15529.3349609375	16909.78125	16475.84765625	20572.33203125	13195.69921875	16272.8427734375	15912.0146484375	16559.45703125	16739.478515625	19123.34765625	17593.681640625	14908.93359375	14002.392578125	19463.099609375
C9J0K6	Sorcin	SRI	139939.53125	157127.03125	161551.359375	134905	133129.4375	143339.953125	136878.796875	136582.90625	118780.6015625	103658.4765625	142335.75	128325.234375	134442.671875	105644.1328125	206485.65625	185918.578125	202066.1875	241434.765625
C9J164	Ras-associated and pleckstrin homology domains-containing protein 1	RAPH1	21932.74609375	22793.470703125	25435.068359375	22034.10546875	35289.21875	30250.56640625	27895.095703125	24906.314453125	30881.748046875	25804.861328125	26646.0703125	27376.80859375	34126.7265625	33805.91796875	34713.17578125	33297.24609375	32643.41796875	32531.552734375
C9J1C6	E3 ubiquitin-protein ligase RNF181	RNF181	76675.4921875	60839.4609375	63360.01953125	0	40893.05859375	67948.0390625	82119.859375	0	0	61258.20703125	0	0	69328.4609375	60633.26171875	47320.19140625	52296.98828125	3089.64624023438	90309.9765625
C9J2Y9	DNA-directed RNA polymerase subunit beta	POLR2B	20889.390625	21235.0625	19850.650390625	21404.17578125	19186.537109375	24053.421875	26558.177734375	23840.298828125	20928.515625	26254.951171875	25738.3671875	28085.15234375	22115.87890625	28084.205078125	24931.662109375	19364.2421875	16988.87890625	19207.828125
C9J384	Protein CMSS1 (Fragment)	CMSS1	46040.65625	17771.37890625	22055.4296875	15124.28515625	55650.0078125	59039.03125	65406.3359375	36011.23828125	17915.20703125	17293.24609375	18655.833984375	21891.451171875	16357.3896484375	40883.55859375	0	0	0	0
C9J3G2	COBW domain-containing protein 2	CBWD2	9877.3134765625	9821.5693359375	20773.833984375	12422.341796875	11494.427734375	10391.4853515625	13067.69921875	12900.626953125	17281.013671875	13324.046875	12206.298828125	11882.775390625	15988.22265625	13468.42578125	25332.080078125	13220.671875	19376.34375	14675.9169921875
C9J3M4	Motile sperm domain-containing protein 3 (Fragment)	MOSPD3	0	0	0	4155.2236328125	0	0	0	4637.36962890625	0	0	0	0	6971.8994140625	0	0	4467.2041015625	0	0
C9J406	MICOS complex subunit MIC60	IMMT	31728.53125	30194.12890625	34085.8515625	34529.2890625	37199.640625	31217.53125	45359.72265625	40755.125	32616.13671875	46170.265625	42398.41796875	40273.62890625	45663.796875	47544.7109375	66505.8203125	47116.28515625	49507.1171875	52146.046875
C9J494	Probable E3 ubiquitin-protein ligase makorin-2	MKRN2	24905.689453125	15330.1796875	15398.91015625	22778.962890625	17929.0234375	25985.091796875	28201.490234375	25224.3203125	25653.806640625	49611.2265625	19124.703125	22745.87890625	13297.9560546875	40194.2265625	16706.55859375	10165.4169921875	9265.8896484375	12157.681640625
C9J4B6	Solute carrier family 66 member 3 (Fragment)	SLC66A3	43894.7734375	59154.82421875	59911.3125	42535.4921875	51189.953125	62963.83203125	48110.1953125	56506.61328125	41726.6484375	47702.3515625	58411.09765625	73111.46875	49016.6875	52466.26171875	59552.87890625	59746.8203125	66596.75	74240.7578125
C9J4W5	Eukaryotic translation initiation factor 5A (Fragment)	EIF5A2	0	41521.625	0	0	57056.11328125	0	70130.5234375	0	67133.3125	67466.6015625	65375.4921875	67540	78987.046875	99727.15625	69940.9921875	87654.375	75003.9765625	74516.3359375
C9J4Z3	60S ribosomal protein L37a	RPL37A	967256.75	1054446.125	909885.9375	851831.3125	952138.375	719362.5	905543.125	811493.4375	773079.4375	1046861.3125	1063602	712054.125	966348.4375	592226.875	334100	847448.75	981097.3125	809529.625
C9J5X1	Tyrosine-protein kinase receptor	IGF1R	12280.845703125	13363.904296875	14834.982421875	13843.904296875	16101.9072265625	13924.271484375	16473.4375	16666.30078125	16195.81640625	13837.453125	15670.2236328125	17885.28515625	21188.484375	18957.0546875	20240.806640625	20291.9765625	21377.72265625	21465.564453125
C9J712	Profilin	PFN2	29547.173828125	85107.984375	35129.6640625	35439.109375	23327.81640625	80914.4609375	97433.1171875	42750.81640625	27828.47265625	25448.388671875	23603.056640625	32855.79296875	13746.1396484375	70742.0078125	27580.005859375	16581.59765625	15158.9326171875	30254.248046875
C9J7I0	UBAP1-MVB12-associated (UMA)-domain containing protein 1	UMAD1	8223.1611328125	8080.3193359375	7030.7109375	5794.34033203125	6641.85205078125	5834.19091796875	8030.41796875	7110.513671875	8388.5830078125	6022.98681640625	5936.5654296875	4724.513671875	6479.8466796875	7115.271484375	6381.80419921875	4430.27197265625	6422.29248046875	7955.68896484375
C9J7K9	Phospholipid scramblase	PLSCR1	99911.9140625	144886.125	103381.984375	121446.6953125	98676.6015625	100686.65625	72367.5390625	93317.421875	99898.2890625	89156.8125	97281.734375	80192.1015625	76552.828125	72607.0234375	127826.0703125	84839.0234375	81388.3671875	58484.9140625
C9J813	Caldesmon (Fragment)	CALD1	2123.65698242188	2262.74584960938	7500.1455078125	5164.0498046875	2353.1748046875	1560.64172363281	3068.0625	5914.80419921875	7782.15625	6556.3291015625	5509.494140625	2582.16796875	4968.35546875	28081.28125	3885.67163085938	4948.1357421875	4667.26904296875	4937.1669921875
C9J8U2	Nicotinate phosphoribosyltransferase	NAPRT	9634.6494140625	10519.8828125	10395.2998046875	7366.5322265625	0	11215.5546875	11064.4892578125	6878.9013671875	5222.9541015625	8448.234375	0	0	4636.90283203125	3844.54614257813	8742.6416015625	12033.455078125	0	6114.552734375
C9J9B2	RNA-binding motif, single-stranded-interacting protein 3	RBMS3	118282.296875	166984.234375	160552.96875	77777.5625	141675.03125	144065.359375	154595.890625	154652.25	140011.03125	140977.671875	150530.3125	151814.71875	143773.96875	151471.484375	156439.453125	145175.234375	128772.4453125	159311.515625
C9J9V0	Protein PRR14L (Fragment)	PRR14L	0	0	0	182506.765625	159158.78125	0	0	45948.44921875	107212.859375	197314.4375	226530.5	219884.3125	297336.40625	135115.6875	0	400546.28125	105586.9765625	0
C9JA28	Translocon-associated protein subunit gamma	SSR3	940027.5	834016.5	1005691.0625	855018.4375	969425	878262.625	886252.5	860210.625	1001774.875	917735.625	1214711.125	1139700	1308775.5	964316.8125	1509287	1220990.375	1650098	1296235.375
C9JAK5	ADP-ribosylation factor 4	ARF4	431609.59375	403629.5	451618.9375	379471.9375	435018.03125	474059.8125	316756.4375	374286.875	400797.25	493844.375	442065.1875	524017.25	437197.21875	368354.71875	469027.3125	557165.5	764875.125	697293.625
C9JBG5	SID1 transmembrane family member 2	SIDT2	14533.7294921875	13568.12890625	14494.47265625	12954.2978515625	15868.4013671875	17510.5234375	12827.2060546875	15443.794921875	12056.634765625	15004.318359375	20551.279296875	22732.83203125	20785.73828125	18407.892578125	25138.419921875	24050.203125	24017.271484375	27841.65625
C9JC87	AP-4 complex subunit mu-1	AP4M1	7233.94677734375	8047.89306640625	7916.314453125	3719.13696289063	7010.33251953125	3200.47924804688	4788.24560546875	3397.00268554688	0	0	5343.283203125	0	0	0	0	0	5078.37548828125	0
C9JCC6	Dr1-associated corepressor	DRAP1	107342.6171875	103649.734375	134546.46875	145808.90625	139173.96875	152505.9375	109990.0703125	116593.0078125	121369.7421875	171060.96875	154084.859375	178047.625	131747.140625	111202.2578125	154162.71875	143041.15625	136609.78125	111673.921875
C9JCN8	Fos-related antigen 2 (Fragment)	FOSL2	33313.96484375	26861.298828125	30157.515625	33068.5234375	36409.3046875	23062.37890625	25254.900390625	26245.662109375	32489.66015625	20900.095703125	16607.853515625	0	0	13796.2548828125	8721.5234375	0	0	0
C9JEH3	Angio-associated migratory cell protein	AAMP	25253.162109375	9147.7724609375	27504.208984375	44755.95703125	30893.15625	25109.708984375	34768.5625	10485.1630859375	44547.0390625	47050.28515625	12898.5263671875	32442.82421875	35115.98828125	12462.00390625	17865.9140625	12671.892578125	18605.541015625	16847.974609375
C9JEJ2	Choline-phosphate cytidylyltransferase A	PCYT1A	64017.8203125	70037.03125	82341.0625	77303.546875	85355.84375	73255.7109375	87067.2421875	71522.015625	72486.8671875	91517.109375	101142.1796875	99631.25	94817.3671875	101073.34375	88572.125	105437.078125	100502.9140625	100056.5859375
C9JF17	Apolipoprotein D (Fragment)	APOD	877231.1875	726180.0625	749245.125	1075297.5	844287	975240.5	1283827.25	1355075.375	1289299.75	886246.875	477028.625	711350.5	1253845.75	703686.25	1015798.875	222479.421875	187485.265625	94677.7265625
C9JF46	LIM and senescent cell antigen-like-containing domain protein 1 (Fragment)	LIMS1	38991.7421875	58712.015625	20375.435546875	32247.26953125	44047.4375	25469.1015625	29889.958984375	21036.740234375	22393.341796875	24392.0078125	14650.8857421875	20702.86328125	25935.919921875	35068.9453125	0	12928.5107421875	6535.412109375	0
C9JFP8	SH3 and multiple ankyrin repeat domains protein 2	SHANK2	3232.1748046875	3508.78076171875	9169.9833984375	4555.18896484375	4851.82666015625	3031.4326171875	2038.6962890625	3419.48046875	4188.47021484375	3628.27709960938	3831.8466796875	3444.25830078125	4703.59814453125	1870.76708984375	6657.89453125	4860.9404296875	0	8189.36474609375
C9JFR7	Cytochrome c (Fragment)	CYCS	542557.375	585405.5	612327.75	653624.6875	353662.96875	528450.75	506487.59375	528176.9375	330148.6875	704820.5	604526.4375	667226.8125	490997.125	508528.34375	350610.15625	490075.40625	326150.78125	443151.21875
C9JG41	Integral membrane protein 2C (Fragment)	ITM2C	42748.12890625	35782.91796875	32784.1484375	41971.96484375	35635.5	37440.49609375	44996.46484375	52030.5859375	47949.6328125	45087.13671875	47195.12890625	40820.09375	65621.2890625	100088.359375	49653.46875	44306.171875	44191.7578125	44257.6953125
C9JG86	Histone-lysine N-methyltransferase SETD2 (Fragment)	SETD2	1456.07946777344	1613.775390625	2216.05395507813	6590.56103515625	0	628.745483398438	968.296630859375	1003.75018310547	965.415161132813	0	0	0	0	0	0	0	0	0
C9JIF9	Acylamino-acid-releasing enzyme	APEH	61387.75390625	55957.19140625	70554.75	56078.0078125	50734.82421875	58985.3359375	53795.9765625	62217.0078125	57807.07421875	57881.3359375	55739.65234375	64263.453125	49775.796875	55934.00390625	83826	68343.140625	63633.0546875	71587.171875
C9JJ19	28S ribosomal protein S34, mitochondrial	MRPS34	66578.5234375	69529.5625	66251.578125	63094.30078125	61664.97265625	75639.875	45012.71484375	58654.5234375	53331.93359375	56821.66796875	53251.66015625	51653.125	33785.390625	37968.3359375	44211.25	50229.65625	42451.7734375	36911.22265625
C9JJN9	Vacuolar protein sorting-associated protein 8 homolog	VPS8	8564.884765625	6750.638671875	11792.5751953125	2504.65625	2606.03930664063	10052.51953125	12427.7158203125	2676.49267578125	9997.8115234375	4749.826171875	13006.3212890625	4234.779296875	3583.62670898438	7446.06591796875	19367.5	4553.4296875	3440.96557617188	6564.3818359375
C9JKA9	Kinesin-like protein KIF15	KIF15	2379.00439453125	2501.72534179688	0	0	0	2585.3955078125	3527.25439453125	0	0	0	0	0	0	0	0	9219.1181640625	0	0
C9JLC0	F-box/SPRY domain-containing protein 1	FBXO45	1901.25866699219	3030.11987304688	2206.86669921875	3733.07250976563	3219.79296875	0	0	0	1457.34716796875	3137.45166015625	0	3940.90747070313	1439.04809570313	0	0	1493.20483398438	0	0
C9JLU1	DNA-directed RNA polymerases I, II, and III subunit RPABC3 (Fragment)	POLR2H	22468.390625	21527.625	19951.64453125	23941.5546875	18425.896484375	21095.2421875	24259.65234375	24469.291015625	27757.92578125	29144.708984375	21976.1328125	26844.0234375	20910.869140625	24587.8203125	20323.7578125	23657.978515625	17714.41015625	17858.15234375
C9JNW5	60S ribosomal protein L24	RPL24	1486263.625	1331337.125	1577961.25	1694536.125	1387414.875	1813700.375	1544771.25	1754744	1814049	1918627.875	1579512.25	1821106.625	1391793.375	1475262.375	1391646.125	1164205.625	1130912.5	1212450.375
C9JNZ0	Vesicle-trafficking protein SEC22a (Fragment)	SEC22A	156498.0625	161260.5625	435024.59375	112022.8828125	273972.21875	252924.640625	412850.34375	21750.482421875	359284.625	16290.890625	22359.26953125	31008.609375	287426.90625	18827.490234375	449718.59375	177213.375	220526.625	23058.720703125
C9JQ41	Coiled-coil domain-containing protein 58	CCDC58	39141.9609375	47113.22265625	44735.375	42756.91015625	42182.484375	46915.73828125	40860.96484375	41079.55859375	35639.9609375	34735.90234375	43105.609375	34749.16015625	31330.80859375	29459.3203125	35404.72265625	39327.953125	41449.2734375	30459.05859375
C9JQD4	Peptidyl-prolyl cis-trans isomerase (Fragment)	PPIH	32924.80078125	25600.603515625	30034.533203125	24203.8671875	22656.5234375	25767.23046875	31505.724609375	32220.728515625	22834.021484375	23097.5625	24035.224609375	28838.619140625	25174.21875	24519.810546875	28729.140625	18412.14453125	21236.9140625	20360.544921875
C9JQV0	Uncharacterized protein C7orf50 (Fragment)	C7orf50	53408.05078125	65818.6796875	76327.6640625	54561.25390625	49299.984375	56252.953125	69903	76289.25	59414.1953125	72828.828125	61092.1328125	56489.91796875	62816.73046875	78838.6015625	57522.83984375	48993.484375	36346.3125	69215.0078125
C9JRP1	Anion exchange protein (Fragment)	SLC4A7	9744.2275390625	7545.43896484375	5346.45166015625	4987.9013671875	4622.15234375	7585.3232421875	7701.7197265625	8659.5029296875	9662.6484375	9312.7861328125	5550.62255859375	11023.669921875	6813.09619140625	12468.8310546875	13711.21484375	19385.205078125	8996.7724609375	5771.58056640625
C9JS50	Metalloreductase STEAP4	STEAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32256.49609375	14599.072265625	12671.58984375
C9JVP0	Forkhead box J3, isoform CRA_b (Fragment)	FOXJ3	6772.59716796875	9212.494140625	7556.513671875	4499.90625	5012.49755859375	10107.216796875	3522.85180664063	9820.7509765625	6696.2421875	6884.6083984375	5532.53564453125	7121.59912109375	0	6818.7041015625	4605.3486328125	0	4944.7236328125	6564.3291015625
C9JW67	SPATS2-like protein (Fragment)	SPATS2L	98590.328125	110172.6171875	99395.578125	74592.0703125	0	0	0	70519.9140625	0	66433.0234375	74695.640625	0	0	0	0	29124.9765625	21802.076171875	0
C9JY04	Transmembrane protein 243	TMEM243	10352.6708984375	10001.90234375	9737.9775390625	11793.35546875	20290.111328125	9379.6298828125	12242.1474609375	11069.4208984375	12082.640625	5956.400390625	9348.0166015625	2815.71704101563	5096.79248046875	15857.466796875	0	3963.90161132813	6747.6396484375	0
C9JYM0	Ribonuclease P protein subunit p20 (Fragment)	POP7	12328.2666015625	17070.587890625	19129.208984375	159753.5	11024.3173828125	17778.689453125	18824.099609375	24437.09375	14239.4345703125	21285.619140625	16336.677734375	20376.08203125	0	23051.3359375	0	19429.064453125	0	0
C9JYQ9	60S ribosomal protein L22-like 1	RPL22L1	138645	81129.5234375	84047.625	125647.265625	111366.5234375	104775.0546875	120824.578125	116475.203125	153893.21875	152993.65625	99065.515625	105238.4296875	117985.1875	105742.28125	100245.1171875	76981.59375	46642.1875	42476.69140625
